step,type,value,line
1,VARTYPE,int
2,IDENTIFIER,fac
3,BORDER,(
4,VARTYPE,int
5,IDENTIFIER,x
6,BORDER,)
7,BORDER,{
8,VARTYPE,int
9,IDENTIFIER,f
10,BORDER,;
11,KEYWARD,if
12,BORDER,(
13,IDENTIFIER,x
14,OPERATOR,<=
15,INT,1
16,BORDER,)
17,BORDER,{
18,IDENTIFIER,f
19,OPERATOR,=
20,INT,1
21,BORDER,;
22,BORDER,}
23,KEYWARD,else
24,BORDER,{
25,IDENTIFIER,f
26,OPERATOR,=
27,IDENTIFIER,fac
28,BORDER,(
29,IDENTIFIER,x
30,OPERATOR,-
31,INT,1
32,BORDER,)
33,OPERATOR,*
34,IDENTIFIER,x
35,BORDER,;
36,BORDER,}
37,KEYWARD,return
38,IDENTIFIER,f
39,BORDER,;
40,BORDER,}
41,VARTYPE,void
42,IDENTIFIER,main
43,BORDER,(
44,VARTYPE,void
45,BORDER,)
46,BORDER,{
47,VARTYPE,int
48,IDENTIFIER,a
49,BORDER,;
50,VARTYPE,int
51,IDENTIFIER,b
52,BORDER,;
53,VARTYPE,int
54,IDENTIFIER,c
55,BORDER,;
56,IDENTIFIER,a
57,OPERATOR,=
58,INT,3
59,BORDER,;
60,IDENTIFIER,a
61,OPERATOR,=
62,IDENTIFIER,fac
63,BORDER,(
64,IDENTIFIER,fac
65,BORDER,(
66,IDENTIFIER,a
67,BORDER,)
68,BORDER,)
69,BORDER,;
70,KEYWARD,return
71,BORDER,;
72,BORDER,}
