State ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,char,const_char,const_float,const_int,else,float,id,if,int,return,void,while,{,},ActualParaList,AddExpression,AddExpressionLoop,AssignSentence,CallFunction,ConstValue,ElseSentenceBlock,Expression,ExpressionLoop,FTYPE,Factor,FactorLoop,FormalPara,FormalParaList,FunctionStmt,IfSentence,If_M1,If_M2,If_N,InternalStmt,InternalVariableStmt,Item,ItemLoop,Para,ParaLoop,Program,Relop,ReturnExpression,ReturnSentence,Sentence,SentenceBlock,SentenceLoop,SentenceString,Stmt,StmtLoop,StmtString,StmtType,VariableStmt,VariableType,WhileSentence,While_M1,While_M2,
0, , , , , , , , , , , , , , , , ,r4, , , , ,r4, , ,r4, ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,3,2, , , , , , ,
1, ,acc , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2, ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3, , , , , , , , , , , , , , , , ,s9, , , , ,s8, , ,s7, ,s6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , ,5, , , ,
4, ,r2, , , , , , , , , , , , , , ,r3, , , , ,r3, , ,r3, ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5, , , , , , , , , , , , , , , , , , , , , , ,s10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
6, , , , , , , , , , , , , , , , , , , , , , ,s11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7, , , , , , , , , , , , , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8, , , , , , , , , , , , , , , , , , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9, , , , , , , , , , , , , , , , , , , , , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10, , ,s16, , , , , , ,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , ,12,13, , , , ,
11, , ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12, ,r5, , , , , , , , , , , , , , ,r5, , , , ,r5, , ,r5, ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13, ,r10, , , , , , , , , , , , , , ,r10, , , , ,r10, , ,r10, ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
14, ,r11, , , , , , , , , , , , , , ,r11, , , , ,r11, , ,r11, ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
15, ,r12, , , , , , , , , , , , , , ,r12, , , , ,r12, , ,r12, ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
16, , , ,r16, , , , , , , , , , , , ,r19, , , , ,r19, , ,r19, ,s20, , , , , , , , , , , , , , , ,18,19, , , , , , , , , , ,21, , , , , , , , , , , , , , , , , ,
17, ,r6, , , , , , , , , , , , , , ,r6, , , , ,r6, , ,r6, ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
18, , , ,s22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
19, , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
20, , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
21, , , , , , , , , , , , , , , , ,s9, , , , ,s8, , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23, , , , , , , , , , , , , , ,24, , , ,
22, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, , , , , , , , , , , ,
23, , , ,r17, , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
24, , , , , , , , , , , , , , , , , , , , , , ,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
25, ,r13, , , , , , , , , , , , , , ,r13, , , , ,r13, , ,r13, ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
26, , , , , , , , , , , , , , , , ,s9, , , , ,s8,r22,r22,s7,r22, ,r22, , , , , , , , , , , , , , , , , , , , , ,29,30, , , , , , , , , , , , , , , , , ,31, , , ,
27, , , , , , , , , , , , , , , , ,r18, , , , ,r18, , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
28, , , ,r20, , ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
29, , , , , , , , , , , , , , , , , , , , , , ,r27,r27, ,r27, ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33,32, , , , , , , , , ,
30, , , , , , , , , ,s34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
31, , , , , , , , , , , , , , , , , , , , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
33, , , , , , , , , , , , , , , , , , , , , , ,s42,s45, ,s43, ,s44, , , , , ,41, , , , , , , , , , , ,38, , , , , , , , , , , , ,40,37, , , , , , , , , ,39, , ,
34, , , , , , , , , , , , , , , , ,s9, , , , ,s8,r22,r22,s7,r22, ,r22, , , , , , , , , , , , , , , , , , , , , ,46,30, , , , , , , , , , , , , , , , , ,31, , , ,
35, , , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
36, ,r21, , , , , , , , , , , , , , ,r21, , , , ,r21, , ,r21, ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
37, , , , , , , , , , , , , , , , , , , , , , ,r26,r26, ,r26, ,r26, ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
38, , , , , , , , , , , , , , , , , , , , , , ,r28,r28, ,r28, ,r28, ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
39, , , , , , , , , , , , , , , , , , , , , , ,r29,r29, ,r29, ,r29, ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
40, , , , , , , , , , , , , , , , , , , , , , ,r30,r30, ,r30, ,r30, ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41, , , , , , , , , , , , , , , , , , , , , , ,r31,r31, ,r31, ,r31, ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42, , , , , , , , , , , , ,s47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
43, , ,r47, , , , , , ,r35, , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,50, , , , ,49, , , , , , , , , , , , , , , , , , , ,48, , , , , , , , , , , , , , ,
44, , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51, ,
45, , ,s52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
46, , , , , , , , , , , , , , , , , , , , , , ,r23,r23, ,r23, ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47, , ,r47, , , , , , , , , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,50, , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48, , , , , , , , , ,s54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
49, , , , , , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50, , ,r57, , , , , , , , , , , , , , ,r57,r57,r57, , ,r57, , , , , , , , ,55, , , , , , , , , , , , , , , , , , , , ,56, , , , , , , , , , , , , , , , , , , ,
51, , ,s57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
52, , ,r47, , , , , , , , , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,59, , , , ,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
53, , , , , , , , , ,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
54, , , , , , , , , , , , , , , , , , , , , , ,r33,r33, ,r33, ,r33, ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
55,s66, , , , , , , , ,r45,s62,s65, ,s67,s63,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61, , , , , , , , , , , , , , , ,
56, , ,r61, , , , , , , , , , , , , , ,r61,r61,r61, , ,r61, , , , , , , , , , , , , , , , , , ,69, , , , , , , , , ,68, , , , , , , , , , , , , , , , , , , , ,
57, , ,r47, , , , , , , , , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,59, , , , ,70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
58, , , ,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59, , ,r57, , , , , , , , , , , , , , ,r57,r57,r57, , ,r57, , , , , , , , ,72, , , , , , , , , , , , , , , , , , , , ,73, , , , , , , , , , , , , , , , , , , ,
60, , , , , , , , , , , , , , , , , , , , , , ,r32,r32, ,r32, ,r32, ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
61, , ,r46, , , , , , , , , , , , , , ,r46,r46,r46, , ,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
62, , ,r48, , , , , , , , , , , , , , ,r48,r48,r48, , ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
63, , ,r49, , , , , , , , , , , , , , ,r49,r49,r49, , ,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
64, , ,r50, , , , , , , , , , , , , , ,r50,r50,r50, , ,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
65, , ,r51, , , , , , , , , , , , , , ,r51,r51,r51, , ,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
66, , ,r52, , , , , , , , , , , , , , ,r52,r52,r52, , ,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
67, , ,r53, , , , , , , , , , , , , , ,r53,r53,r53, , ,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
68,r54, , , , ,s74, ,s75, ,r54,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
69, , ,s78, , , , , , , , , , , , , , ,s82,s81,s80, , ,s79, , , , , , , , , , , , ,77, , , , ,76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
70, , , ,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
71, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r42, , , , , , , , , , , , , , , , , ,84, , , , , , , , , , , , , , , , , , , , , , , , , ,
72,s66, , ,r45, , , , , , ,s62,s65, ,s67,s63,s64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,61, , , , , , , , , , , , , , , ,
73, , ,r61, , , , , , , , , , , , , , ,r61,r61,r61, , ,r61, , , , , , , , , , , , , , , , , , ,86, , , , , , , , , ,85, , , , , , , , , , , , , , , , , , , , ,
74, , ,r55, , , , , , , , , , , , , , ,r55,r55,r55, , ,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
75, , ,r56, , , , , , , , , , , , , , ,r56,r56,r56, , ,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
76,r58, , , ,s87,r58, ,r58,s88,r58,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
77,r62, , , ,r62,r62, ,r62,r62,r62,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
78, , ,r47, , , , , , , , , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,59, , , , ,89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
79,r69, ,s92, ,r69,r69, ,r69,r69,r69,r69,r69, ,r69,r69,r69, , , , , , , , , , , , , , , , , , ,91, , , , ,90, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
80,r65, , , ,r65,r65, ,r65,r65,r65,r65,r65, ,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
81,r66, , , ,r66,r66, ,r66,r66,r66,r66,r66, ,r66,r66,r66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
82,r67, , , ,r67,r67, ,r67,r67,r67,r67,r67, ,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
83, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,93,
84, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,95, , , , , , , , , , , ,
85,r54, , ,r54, ,s74, ,s75, , ,r54,r54, ,r54,r54,r54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
86, , ,s98, , , , , , , , , , , , , , ,s102,s101,s100, , ,s99, , , , , , , , , , , , ,97, , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
87, , ,r59, , , , , , , , , , , , , , ,r59,r59,r59, , ,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
88, , ,r60, , , , , , , , , , , , , , ,r60,r60,r60, , ,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
89, , , ,s103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
90,r64, , , ,r64,r64, ,r64,r64,r64,r64,r64, ,r64,r64,r64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
91,r68, , , ,r68,r68, ,r68,r68,r68,r68,r68, ,r68,r68,r68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
92, , ,r74,r72, , , , , , , , , , , , , ,r74,r74,r74, , ,r74, , , , , , , , 104, , , , , , , ,105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
93, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s106, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107, , , , , , , , , , , ,
94, , , , , , , , , , , , , , , , ,s9, , , , ,s8,r22,r22,s7,r22, ,r22, , , , , , , , , , , , , , , , , , , , , ,108,30, , , , , , , , , , , , , , , , , ,31, , , ,
95, , , , , , , , , , , , , , , , , , , , ,r43, ,r40,r40, ,r40, ,r40, ,r40, , , , , , ,109, , , , , , , , , , , ,110, , , , , , , , , , , , , , , , , , , , , , , ,
96,r58, , ,r58,s87,r58, ,r58,s88, ,r58,r58, ,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
97,r62, , ,r62,r62,r62, ,r62,r62, ,r62,r62, ,r62,r62,r62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
98, , ,r47, , , , , , , , , , , , , , ,r47,r47,r47, , ,r47, , , , , , , , , ,59, , , , ,111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
99,r69, ,s114,r69,r69,r69, ,r69,r69, ,r69,r69, ,r69,r69,r69, , , , , , , , , , , , , , , , , , ,113, , , , ,112, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
100,r65, , ,r65,r65,r65, ,r65,r65, ,r65,r65, ,r65,r65,r65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
101,r66, , ,r66,r66,r66, ,r66,r66, ,r66,r66, ,r66,r66,r66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
102,r67, , ,r67,r67,r67, ,r67,r67, ,r67,r67, ,r67,r67,r67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
103,r63, , , ,r63,r63, ,r63,r63,r63,r63,r63, ,r63,r63,r63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
104, , , ,s115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
