step,type,value,line
1,VARTYPE,int
2,IDENTIFIER,a
3,BORDER,;
4,VARTYPE,int
5,IDENTIFIER,b
6,BORDER,;
7,VARTYPE,int
8,IDENTIFIER,program
9,BORDER,(
10,VARTYPE,int
11,IDENTIFIER,a
12,BORDER,£¬
13,VARTYPE,int
14,IDENTIFIER,b
15,BORDER,£¬
16,VARTYPE,int
17,IDENTIFIER,c
18,BORDER,)
19,BORDER,{
20,VARTYPE,int
21,IDENTIFIER,i
22,BORDER,;
23,VARTYPE,int
24,IDENTIFIER,j
25,BORDER,;
26,IDENTIFIER,i
27,OPERATOR,=
28,INT,0
29,BORDER,;
30,KEYWARD,if
31,BORDER,(
32,IDENTIFIER,a
33,OPERATOR,>
34,BORDER,(
35,IDENTIFIER,b
36,OPERATOR,+
37,IDENTIFIER,c
38,BORDER,)
39,BORDER,)
40,BORDER,{
41,IDENTIFIER,j
42,OPERATOR,=
43,IDENTIFIER,a
44,OPERATOR,+
45,BORDER,(
46,IDENTIFIER,b
47,OPERATOR,*
48,IDENTIFIER,c
49,OPERATOR,+
50,INT,1
51,BORDER,)
52,BORDER,;
53,KEYWARD,if
54,BORDER,(
55,IDENTIFIER,a
56,OPERATOR,>
57,IDENTIFIER,b
58,BORDER,)
59,BORDER,{
60,IDENTIFIER,i
61,OPERATOR,=
62,IDENTIFIER,j
63,BORDER,;
64,IDENTIFIER,j
65,OPERATOR,=
66,IDENTIFIER,a
67,OPERATOR,-
68,IDENTIFIER,b
69,BORDER,;
70,BORDER,}
71,IDENTIFIER,j
72,OPERATOR,=
73,IDENTIFIER,a
74,OPERATOR,+
75,IDENTIFIER,b
76,OPERATOR,-
77,IDENTIFIER,c
78,BORDER,;
79,BORDER,}
80,KEYWARD,else
81,BORDER,{
82,IDENTIFIER,j
83,OPERATOR,=
84,IDENTIFIER,a
85,BORDER,;
86,BORDER,}
87,KEYWARD,while
88,BORDER,(
89,IDENTIFIER,i
90,OPERATOR,<=
91,INT,100
92,BORDER,)
93,BORDER,{
94,IDENTIFIER,i
95,OPERATOR,=
96,IDENTIFIER,j
97,OPERATOR,*
98,INT,100
99,BORDER,;
100,BORDER,}
101,KEYWARD,return
102,IDENTIFIER,i
103,BORDER,;
104,BORDER,}
105,VARTYPE,int
106,IDENTIFIER,demo
107,BORDER,(
108,VARTYPE,int
109,IDENTIFIER,a
110,BORDER,)
111,BORDER,{
112,IDENTIFIER,a
113,OPERATOR,=
114,IDENTIFIER,a
115,OPERATOR,+
116,INT,2
117,BORDER,;
118,KEYWARD,return
119,IDENTIFIER,a
120,OPERATOR,*
121,INT,2
122,BORDER,;
123,BORDER,}
124,VARTYPE,void
125,IDENTIFIER,main
126,BORDER,(
127,VARTYPE,void
128,BORDER,)
129,BORDER,{
130,VARTYPE,int
131,IDENTIFIER,a
132,BORDER,;
133,VARTYPE,int
134,IDENTIFIER,b
135,BORDER,;
136,VARTYPE,int
137,IDENTIFIER,c
138,BORDER,;
139,IDENTIFIER,a
140,OPERATOR,=
141,INT,3
142,BORDER,;
143,IDENTIFIER,b
144,OPERATOR,=
145,INT,4
146,BORDER,;
147,IDENTIFIER,c
148,OPERATOR,=
149,INT,2
150,BORDER,;
151,IDENTIFIER,a
152,OPERATOR,=
153,IDENTIFIER,program
154,BORDER,(
155,IDENTIFIER,a
156,BORDER,£¬
157,IDENTIFIER,b
158,BORDER,£¬
159,IDENTIFIER,demo
160,BORDER,(
161,IDENTIFIER,c
162,BORDER,)
163,BORDER,)
164,BORDER,;
165,KEYWARD,return
166,BORDER,;
167,BORDER,}
