State ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,const_int,else,id,if,int,return,void,while,{,},ActualParamList,AddExpression,AddExpressionLoop,AssignSentence,CallCheck,CallFunction,ConstValue,ElseSentenceBlock,Expression,ExpressionLoop,FTYPE,Factor,FactorLoop,FormalParam,FormalParamList,FunctionBegin,FunctionEnd,FunctionStmt,IfSentence,If_M1,If_M2,If_N,InternalStmt,InternalVariableStmt,Item,ItemLoop,Param,ParamLoop,Program,Relop,ReturnExpression,ReturnSentence,SB_M,Sentence,SentenceBlock,SentenceLoop,SentenceString,Stmt,StmtLoop,StmtString,StmtType,VariableStmt,WhileSentence,While_M1,While_M2,
0, , , , , , , , , , , , , , , , , , , , ,r4, ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3,2, , , , , ,
1, ,acc , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2, ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3, , , , , , , , , , , , , , , , , , , , ,s5, ,s6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , , ,
4, ,r2, , , , , , , , , , , , , , , , , , ,r3, ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5, , , , , , , , , , , , , , , , , , ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
6, , , , , , , , , , , , , , , , , , ,s8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7, , ,r9, , , , , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , ,9,10, , , ,
8, , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
9, ,r5, , , , , , , , , , , , , , , , , , ,r5, ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
10, ,r7, , , , , , , , , , , , , , , , , , ,r7, ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
11, , ,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12, ,r10, , , , , , , , , , , , , , , , , , ,r10, ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13, , ,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , ,
14, ,r8, , , , , , , , , , , , , , , , , , ,r8, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
15, , , ,r15, , , , , , , , , , , , , , , , ,r18, ,s19, , , , , , , , , , , , , , , , ,17,18, , , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , ,
16, ,r6, , , , , , , , , , , , , , , , , , ,r6, ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
17, , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
18, , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
19, , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
20, , , , , , , , , , , , , , , , , , , , ,s23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, , , , , , , , , , , , , , , , , , ,
21, , , , , , , , , , , , , , , , , , , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, ,24, , , , , , , , , , ,
22, , , ,r16, , ,s26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
23, , , , , , , , , , , , , , , , , , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
24, ,r12, , , , , , , , , , , , , , , , , , ,r12, ,r12, , , , , , , , , , , , , , , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
25, , , , , , , , , , , , , , , , , , , , , , , , ,s29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
26, , , , , , , , , , , , , , , , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
27, , , ,r19, , ,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
28, ,r11, , , , , , , , , , , , , , , , , , ,r11, ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
29, , , , , , , , , , , , , , , , , , ,r22,r22,s32,r22, ,r22, , , , , , , , , , , , , , , , , , , , , , , , ,30,31, , , , , , , , , , , , , , , , , , , , , ,
30, , , , , , , , , , , , , , , , , , ,r27,r27, ,r27, ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,33, , , , , , , , ,
31, , , , , , , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
32, , , , , , , , , , , , , , , , , , ,s36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
33, , , , , , , , , , , , , , , , , , , , , , , , , ,s37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
34, , , , , , , , , , , , , , , , , , ,s43,s46, ,s44, ,s45, , , , , ,42, , , , , , , , , , , , , , ,39, , , , , , , , , , , , ,41, ,38, , , , , , , , ,40, , ,
35, , , , , , , , , , , , , , , , , , ,r22,r22,s32,r22, ,r22, , , , , , , , , , , , , , , , , , , , , , , , ,47,31, , , , , , , , , , , , , , , , , , , , , ,
36, , , , , , , , , ,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
37, ,r20, , , , , , , , , , , , , , , , , , ,r20, ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
38, , , , , , , , , , , , , , , , , , ,r26,r26, ,r26, ,r26, ,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
39, , , , , , , , , , , , , , , , , , ,r28,r28, ,r28, ,r28, ,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
40, , , , , , , , , , , , , , , , , , ,r29,r29, ,r29, ,r29, ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
41, , , , , , , , , , , , , , , , , , ,r30,r30, ,r30, ,r30, ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
42, , , , , , , , , , , , , , , , , , ,r31,r31, ,r31, ,r31, ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
43, , , , , , , , , , , , ,s48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
44, , ,r47, , , , , , ,r35, , , , , , ,r47, ,r47, , , , , , , , , ,51, , , , , ,50, , , , , , , , , , , , , , , , , , , , , ,49, , , , , , , , , , , , , , ,
45, , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,52, ,
46, , ,s53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
47, , , , , , , , , , , , , , , , , , ,r23,r23, ,r23, ,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
48, , ,r47, , , , , , , , , , , , , ,r47, ,r47, , , , , , , , , ,51, , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
49, , , , , , , , , ,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
50, , , , , , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
51, , ,r57, , , , , , , , , , , , , ,r57, ,r57, , , , , , , , ,56, , , , , , , , , , , , , , , , , , , , , , , ,57, , , , , , , , , , , , , , , , , , , ,
52, , ,s58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
53, , ,r47, , , , , , , , , , , , , ,r47, ,r47, , , , , , , , , ,60, , , , , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
54, , , , , , , , , ,s61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
55, , , , , , , , , , , , , , , , , , ,r33,r33, ,r33, ,r33, ,r33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
56,s67, , , , , , , , ,r45,s63,s66, ,s68,s64,s65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62, , , , , , , , , , , , , , , ,
57, , ,r61, , , , , , , , , , , , , ,r61, ,r61, , , , , , , , , , , , , , , , , , , ,70, , , , , , , , , , , ,69, , , , , , , , , , , , , , , , , , , , ,
58, , ,r47, , , , , , , , , , , , , ,r47, ,r47, , , , , , , , , ,60, , , , , ,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
59, , , ,s72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
60, , ,r57, , , , , , , , , , , , , ,r57, ,r57, , , , , , , , ,73, , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , , , , , , , , ,
61, , , , , , , , , , , , , , , , , , ,r32,r32, ,r32, ,r32, ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
62, , ,r46, , , , , , , , , , , , , ,r46, ,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
63, , ,r48, , , , , , , , , , , , , ,r48, ,r48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
64, , ,r49, , , , , , , , , , , , , ,r49, ,r49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
65, , ,r50, , , , , , , , , , , , , ,r50, ,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
66, , ,r51, , , , , , , , , , , , , ,r51, ,r51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
67, , ,r52, , , , , , , , , , , , , ,r52, ,r52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
68, , ,r53, , , , , , , , , , , , , ,r53, ,r53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
