step,type,value,line
1,VARTYPE,int
2,IDENTIFIER,fac
3,BORDER,(
4,VARTYPE,int
5,IDENTIFIER,x
6,BORDER,)
7,BORDER,{
8,VARTYPE,int
9,IDENTIFIER,f
10,BORDER,;
11,KEYWARD,if
12,BORDER,(
13,IDENTIFIER,x
14,OPERATOR,<=
15,INT,1
16,BORDER,)
17,BORDER,{
18,IDENTIFIER,f
19,OPERATOR,=
20,INT,1
21,BORDER,;
22,BORDER,}
23,KEYWARD,else
24,BORDER,{
25,IDENTIFIER,f
26,OPERATOR,=
27,IDENTIFIER,fac
28,BORDER,(
29,IDENTIFIER,x
30,OPERATOR,-
31,INT,1
32,BORDER,)
33,OPERATOR,*
34,IDENTIFIER,x
35,BORDER,;
36,BORDER,}
37,KEYWARD,return
38,IDENTIFIER,f
39,BORDER,;
40,BORDER,}
41,VARTYPE,int
42,IDENTIFIER,main
43,BORDER,(
44,BORDER,)
45,BORDER,{
46,VARTYPE,int
47,IDENTIFIER,a
48,BORDER,;
49,VARTYPE,int
50,IDENTIFIER,b
51,BORDER,;
52,VARTYPE,int
53,IDENTIFIER,c
54,BORDER,;
55,IDENTIFIER,a
56,OPERATOR,=
57,INT,3
58,BORDER,;
59,IDENTIFIER,a
60,OPERATOR,=
61,IDENTIFIER,xxx
62,BORDER,(
63,IDENTIFIER,xxx
