0,0 3 ,# StmtLoop ,REDUCE,StmtLoop->$
1,0 3 5 ,# StmtLoop int ,SHIFT
2,0 3 5 7 ,# StmtLoop int id ,SHIFT
3,0 3 5 7 11 ,# StmtLoop int id FunctionBegin ,REDUCE,FunctionBegin->$
4,0 3 5 7 11 15 ,# StmtLoop int id FunctionBegin ( ,SHIFT
5,0 3 5 7 11 15 20 ,# StmtLoop int id FunctionBegin ( ParamLoop ,REDUCE,ParamLoop->$
6,0 3 5 7 11 15 20 23 ,# StmtLoop int id FunctionBegin ( ParamLoop int ,SHIFT
7,0 3 5 7 11 15 20 23 27 ,# StmtLoop int id FunctionBegin ( ParamLoop int id ,SHIFT
8,0 3 5 7 11 15 20 22 ,# StmtLoop int id FunctionBegin ( ParamLoop Param ,REDUCE,Param->int id
9,0 3 5 7 11 15 18 ,# StmtLoop int id FunctionBegin ( FormalParamList ,REDUCE,FormalParamList->ParamLoop Param
10,0 3 5 7 11 15 17 ,# StmtLoop int id FunctionBegin ( FormalParam ,REDUCE,FormalParam->FormalParamList
11,0 3 5 7 11 15 17 21 ,# StmtLoop int id FunctionBegin ( FormalParam ) ,SHIFT
12,0 3 5 7 11 15 17 21 25 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M ,REDUCE,SB_M->$
13,0 3 5 7 11 15 17 21 25 29 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { ,SHIFT
14,0 3 5 7 11 15 17 21 25 29 32 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { int ,SHIFT
15,0 3 5 7 11 15 17 21 25 29 32 36 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { int id ,SHIFT
16,0 3 5 7 11 15 17 21 25 29 31 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalVariableStmt ,REDUCE,InternalVariableStmt->int id
17,0 3 5 7 11 15 17 21 25 29 31 35 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalVariableStmt ; ,SHIFT
18,0 3 5 7 11 15 17 21 25 29 31 35 47 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalVariableStmt ; InternalStmt ,REDUCE,InternalStmt->$
19,0 3 5 7 11 15 17 21 25 29 30 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt ,REDUCE,InternalStmt->InternalVariableStmt ; InternalStmt
20,0 3 5 7 11 15 17 21 25 29 30 34 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt SentenceLoop ,REDUCE,SentenceLoop->$
21,0 3 5 7 11 15 17 21 25 29 30 34 46 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt SentenceLoop if ,SHIFT
22,0 3 5 7 11 15 17 21 25 29 30 34 46 53 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt SentenceLoop if ( ,SHIFT
23,0 3 5 7 11 15 17 21 25 29 30 34 46 53 60 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt SentenceLoop if ( AddExpressionLoop ,REDUCE,AddExpressionLoop->$
24,0 3 5 7 11 15 17 21 25 29 30 34 46 53 60 74 ,# StmtLoop int id FunctionBegin ( FormalParam ) SB_M { InternalStmt SentenceLoop if ( AddExpressionLoop ItemLoop ,REDUCE,ItemLoop->$
